rank,name,confed,off,def,spi
1,Spain,UEFA,3.54,0.39,93.99
2,Brazil,CONMEBOL,3.04,0.32,92.22
3,Belgium,UEFA,2.96,0.58,87.71
4,France,UEFA,2.9,0.55,87.64
5,England,UEFA,2.7,0.45,87.44
6,Argentina,CONMEBOL,2.54,0.42,86.59
7,Portugal,UEFA,2.7,0.52,86.2
8,Netherlands,UEFA,2.69,0.53,86.07
9,Germany,UEFA,3.04,0.73,86.05
10,Italy,UEFA,2.52,0.44,86.04
11,Switzerland,UEFA,2.52,0.62,82.57
12,Uruguay,CONMEBOL,2.36,0.56,81.8
13,Colombia,CONMEBOL,2.17,0.54,79.63
14,Denmark,UEFA,2.12,0.58,78.1
15,Mexico,CONCACAF,2.34,0.73,77.92
16,Chile,CONMEBOL,2.22,0.72,76.47
17,Croatia,UEFA,2.42,0.86,76.37
18,Austria,UEFA,2.11,0.69,75.41
19,Ecuador,CONMEBOL,2.24,0.79,75.28
20,Serbia,UEFA,2.08,0.77,73.37
21,USA,CONCACAF,2.04,0.74,73.19
22,Russia,UEFA,2.18,0.85,73.07
23,Sweden,UEFA,1.97,0.74,72.21
24,Poland,UEFA,1.92,0.72,71.67
25,Czech Republic,UEFA,1.96,0.76,71.49
26,Algeria,CAF,2.03,0.81,71.42
27,Venezuela,CONMEBOL,1.87,0.74,70.38
28,Peru,CONMEBOL,1.89,0.77,69.91
29,Iran,AFC,1.78,0.7,69.77
30,Morocco,CAF,2.04,0.92,69.26
31,Paraguay,CONMEBOL,1.8,0.73,69.26
32,Senegal,CAF,1.65,0.62,69.2
33,Japan,AFC,1.86,0.78,69.17
34,Wales,UEFA,1.65,0.64,68.73
35,Norway,UEFA,1.99,0.91,68.56
36,Turkey,UEFA,1.88,0.86,67.81
37,Australia,AFC,1.92,0.9,67.34
38,Ghana,CAF,1.54,0.66,66.08
39,Romania,UEFA,1.88,1.0,64.55
40,Ukraine,UEFA,1.67,0.82,64.53
41,Greece,UEFA,1.5,0.7,64.12
42,Tunisia,CAF,1.56,0.78,63.55
43,Ivory Coast,CAF,1.62,0.85,62.71
44,South Korea,AFC,1.51,0.8,61.9
45,Bosnia and Herzegovina,UEFA,1.74,1.01,61.29
46,Egypt,CAF,1.55,0.88,60.6
47,Qatar,AFC,1.75,1.09,59.93
48,Hungary,UEFA,1.54,0.91,59.84
49,Canada,CONCACAF,1.82,1.16,59.71
50,Scotland,UEFA,1.46,0.84,59.71
51,Israel,UEFA,1.72,1.08,59.39
52,Basque Country,UEFA,1.63,1.0,59.32
53,Slovenia,UEFA,1.4,0.82,58.87
54,Uganda,CAF,1.58,0.98,58.85
55,Mali,CAF,1.26,0.69,58.82
56,Nigeria,CAF,1.77,1.15,58.73
57,Finland,UEFA,1.61,1.03,58.39
58,Iraq,AFC,1.39,0.84,58.09
59,Costa Rica,CONCACAF,1.49,0.93,58.04
60,Zimbabwe,CAF,1.6,1.06,57.58
61,Burkina Faso,CAF,1.38,0.89,56.74
62,Northern Ireland,UEFA,1.37,0.92,55.7
63,Iceland,UEFA,1.52,1.06,55.68
64,Rep of Ireland,UEFA,1.26,0.82,55.62
65,Slovakia,UEFA,1.53,1.14,54.08
66,Honduras,CONCACAF,1.56,1.2,53.21
67,Bolivia,CONMEBOL,1.57,1.22,53.13
68,Uzbekistan,AFC,1.47,1.13,52.97
69,Saudi Arabia,AFC,1.56,1.24,52.47
70,Panama,CONCACAF,1.3,1.0,52.02
71,Cameroon,CAF,1.19,0.89,51.99
72,Georgia,UEFA,1.27,1.0,51.42
73,Albania,UEFA,1.32,1.06,51.04
74,Haiti,CONCACAF,1.47,1.23,50.56
75,Bahrain,AFC,1.24,1.0,50.49
76,Montenegro,UEFA,1.23,1.04,49.31
77,China PR,AFC,1.2,1.02,49.21
78,Belarus,UEFA,1.34,1.16,49.19
79,FYR Macedonia,UEFA,1.3,1.13,48.8
80,Benin,CAF,1.14,0.97,48.62
81,Kosovo,UEFA,1.33,1.2,48.1
82,Zambia,CAF,1.46,1.34,48.09
83,Bulgaria,UEFA,1.2,1.07,48.0
84,Guinea,CAF,1.27,1.15,48.0
85,Namibia,CAF,0.96,0.82,47.83
86,Congo,CAF,1.13,1.0,47.82
87,South Africa,CAF,1.35,1.24,47.7
88,Jamaica,CONCACAF,1.32,1.21,47.69
89,Gabon,CAF,1.16,1.04,47.6
90,Congo DR,CAF,1.28,1.18,47.34
91,Libya,CAF,1.24,1.17,46.61
92,Armenia,UEFA,1.48,1.49,45.34
93,Togo,CAF,1.32,1.32,45.31
94,Tanzania,CAF,1.21,1.2,45.28
95,Guatemala,CONCACAF,1.25,1.27,44.7
96,Kenya,CAF,1.11,1.12,44.4
97,New Zealand,OFC,1.26,1.3,44.18
98,Angola,CAF,1.07,1.14,42.82
99,Jordan,AFC,0.93,0.99,42.64
100,Cape Verde Islands,CAF,1.04,1.15,42.17
101,Madagascar,CAF,1.3,1.44,42.16
102,Curacao,CONCACAF,1.29,1.47,41.53
103,El Salvador,CONCACAF,1.05,1.2,41.27
104,Oman,AFC,1.08,1.24,41.19
